cl_batch,epoch,train_loss,train_acc,val_acc,test_acc
0,0,4.47323030895657,0.058488175675675685,0.1136,0.1131
0,1,3.3510372506247625,0.37590324699699695,0.261,0.2537
1,0,3.2199182907740274,0.31841216216216217,0.3598,0.3521
1,1,2.5274825625949435,0.50512621996997,0.429,0.4239
2,0,2.5085741149054632,0.4604565503003003,0.488,0.4832
2,1,1.9878195457988315,0.6039437875375375,0.5216,0.5175
3,0,2.1149637169308133,0.5219359984984986,0.5632,0.5545
3,1,1.6464482016033597,0.6748428115615616,0.5726,0.5671
4,0,1.8416928052902222,0.5741366366366366,0.5948,0.5911
4,1,1.425555169582367,0.6943740615615616,0.6176,0.6139
